en,fr,description,file,hash
"No QR code to output","Aucun QR code à afficher",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,7c275c4a6198b020579a8fa7a63d8d8f
"Please check your %1$ssource(s)%2$s","Merci de vérifier vos %1$ssources%2$s",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,3c0e5609b4d0c36bc8702ff1cbc0b1cc
"Allows to select the image format of the QR code","Permet de choisir le format d'image du QR code",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,e79bbedd9046977da6d8063ae9a4d53f
Format,=,,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,520d0db389f362bf79ef56ca0af3dcab
"Allows to render the SVG markup directly, instead of a base64 image","Si activé, le code SVG sera généré directement au lieu d'une image en base64",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,7cc1d5ae466fb637d16563c0f2d89632
"Render SVG Markup?","Générer le code SVG ?",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,e7a001a74a40f90d0922974f307cc0ed
Yes,Oui,,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,93cba07454f06a4a960172bbd6e2a435
"Define which source(s) you want the QR code(s) to be generated from. You can either use `httpUrl` (`url` will behave the same) and/or `editUrl` and/or the name of any text/URL/file/image field. You can also specify multiple sources by separating them with a comma. Default: `httpUrl`","Définissez à partir de quelle(s) source(s) vous souhaitez générer le(s) QR code(s). Vous pouvez soit utiliser `httpUrl` (`url` se comportera de la même manière) et/ou `editUrl` et/ou le nom de n'importe quel champ texte/URL/fichier/image. Vous pouvez également spécifier plusieurs sources en les séparant par une virgule. Valeur par défaut: `httpUrl`",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,63b37b4fb9f61461d7d789d8a587e11d
"QR code source(s)","Source(s) de(s) QR code(s)",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,11f778cc26c0c11a32b831044ac03bc2
"Allows to recover different levels of lost data if the QR code is visually damaged. Please note this reduces the maximum size of the QR code","Permet de récupérer des données perdues si le QR code est visuellement endommagé. Veuillez noter que cela réduit la taille maximale du QR code",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,d17a3303f26cce13acd8dda2f51d9172
"Set the error correction level","Niveau de correction des erreurs",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,a121b86f463a55019370d697e927b3ad
"Depending on the level of correction set and the type of characters encoded in the QR code, [the maximum size allowed for a QR code can vary](https://en.wikipedia.org/wiki/QR_code#Information_capacity). It is adviced to set a maximum character count on textareas or any relevant Inputfields","Selon le niveau de correction des erreurs et du type de caractères contenu dans le QR code, [sa taille maximale peut varier](https://fr.wikipedia.org/wiki/Code_QR#Capacit%C3%A9s). Il est avisé de définir un nombre maximum de caractère sur les champs texte ou tout autre champ approprié",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,20d431adbf01232d37f4adf7be0b8379
"Maximum QR code size","Taille maximal du QR code",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,b7cf989a89bfe92294cbaf58244eff90
"Field ""%s"" is runtime only and not queryable","Le champ ""%s"" est uniquement dynamique et non recherchable",,site/modules/FieldtypeQRCode/FieldtypeQRCode.module.php,737650f6c9cf4e52fef009fc61e316d4
